Id_wisata,Nama Wisata,Deskripsi,Jenis Wisata,Lokasi,Ratings,TAG,Harga Tiket,Images
1,Bukit Jaddih,Jaddih merupakan bukit yang terbentuk karena penambangan batu kapur putih ini jadi destinasi favorit di Bangkalan. Ada danau berwarna biru kehijauan di tengah hamparan bukit kapur putih. Kamu bisa menyewa perahu buat berkeliling danau . 1997/1998.,Wisata Alam,Kabupaten Bangkalan,4.6,Bukit,10000,Bukit_Jaddih.png
2,Bukit Arosbaya,"Arosbaya, bukit bekas pertambangan kapur yang berwarna merah kecokelatan, ini disebut juga dengan sebutan ""Bedel"".Tidak hanya bukit kapur menjulang menyerupai Grand Canyon yang jadi daya tariknya, melainkan juga banyaknya tumbuhan hijau merambat. Tumbuhan ini menghiasi perbukitan yang tampak kering diterpa sinar matahari terus-menerus.",Wisata Alam,Kabupaten Bangkalan,4,Bukit,10000,Bukit_Arosbaya.png
3,Bukit Geger,"Bukit Gegera berada di ketinggian 150-200 mdpl. Berdasarkan informasi dari Pesona Indonesia, obyek wisata ini menjadi lokasi favorit untuk camping lantaran udaranya sejuk. Kawasan perbukitan seluas 44 hektar ini, ditumbuhi kayu mahoni. Untuk bisa sampai di puncak bukit, pengunjung harus melewati puluhan anak tangga.",Wisata Alam,Kabupaten Bangkalan,4.5,Bukit,10000,Gunung_Geger.png
4,Bukit Kapur Aermata Bangkalan,"Beda dengan bukit jaddih, bukit kapur arosbaya ini mempunyai warna sedikit kemerahan, uniknya banyak lorong-lorong yang terdapat didalam sana dan beberapa sisa tambang yang menyerupai tembok. Warna batu pun sedikit kehijauan karena ada yang sudah bertahun-tahun tidak tersentuh tangan manusia sehingga ber lumut.",Wisata Alam,Kabupaten Bangkalan,4.5,Bukit,10000,Bukit_Kapur_Aermata_Arosbaya.png
5,Bukit Lampion Beramah,"Tempat wisata Bukit Lampion Beramah berada di Desa Daleman, Kecamatan Galis, Bangkalan. Adapun dari pusat Kota Bangkalan, pengunjung hanya perlu menempuh jarak sekitar 15 kilometer. Selain menyuguhkan pemandangan alam perbukitan, Bukit Lampion Beramah juga dihiasi lampion berwarna-warni. Tak hanya itu, Bukit Lampion Beramah menyediakan berbagai spot foto menarik.",Wisata Alam,Kabupaten Bangkalan,4.2,Bukit,15000,Bukit_Lampion_Beramah.png
6,Bukit Anjhir,"Bukit Anjhir Terletak di Desa Kemoneng, Kabupaten Bangkalan, tepatnya di Kecamatan Tragah. Adapun obyek wisata yang dimaksud yakni wisata alam Bukit Anjhir. Kata “Anjhir” sendiri memiliki arti dalam bahasa Madura yaitu berarti Panchang atau Rambu. Dari atas Bukit Anjhir kita akan disuguhi dengan pemandangan alam yang masih sangat asri, pepohonan yang hijau dan udara yang masih sejuk. Bukit ini juga cocok untuk kegiatan camping dan kegiatan yang berhubungan dengan alam lainnya.",Wisata Alam,Kabupaten Bangkalan,4,Bukit,15000,Bukin_Anjhir.png
7,Pantai Gebang,"Banyaknya perahu nelayan yang bersandar di bibir Pantai Gebang ini memiliki daya tariknya sendiri. Tidak hanya perahu, kamu juga bisa melihat beberapa tumbuhan bakau yang ditanam untuk mencegah abrasi. ",Wisata Alam,Kabupaten Bangkalan,4.5,Pantai,15000,Pantai_Gebang.png
8,Pantai Siring Kemuning,"Untuk mencapai pantai ini, kamu harus menempuh perjalanan sekitar 1,5 jam dari Jembatan Suramadu. Saat tiba di lokasi, kamu langsung disambut dengan indahnya hamparan pasir putih. Lebih cantik lagi kalau kamu mengunjunginya saat matahari terbenam atau terbit. ",Wisata Alam,Kabupaten Bangkalan,4.1,Pantai,10000,Pantai_Siring_Kemuning.png
9,Pantai Sambilangan,Lokasinya di Desa Sambilangan atau sekitar tujuh kilometer ke arah selatan Kota Bangkalan.,Wisata Alam,Kabupaten Bangkalan,4.2,Pantai,Gratis,Pantai_Sembilangan.png
10,Pantai Rongkang ,"Pantai Rongkang mempunyai daya tarik yang membedakannya dengan pantai di Madura lainnya. Ciri khas tersebut adalah bebatuan kecil yang menutupi pantai.Selain bebatuan kecil di pantai, wisatawan juga akan menjumpai batuan karang di pinggiran pantai. Nama pantai ini berasal dari bahasa Madura ngrongkang yang berarti berlubang.",Wisata Alam,Kabupaten Bangkalan,4.2,Pantai,10000,Pantai_Rongkang.png
